"","name","date","open","high","low","close","volume","market"
"314","Bitcoin","2014-03-07",664.31,665.34,616.35,629.15,34150800,8291900000
"315","Bitcoin","2014-03-08",629.66,635.14,604.46,617.45,18654200,7862010000
"316","Bitcoin","2014-03-09",616.31,643.95,612.35,636.96,15396500,7697910000
"317","Bitcoin","2014-03-10",636.33,644.76,615.02,627.79,20639800,7950820000
"318","Bitcoin","2014-03-11",627.95,638.42,618.84,634.11,11732500,7848450000
"319","Bitcoin","2014-03-12",631.91,648.03,629.51,632.1,18621200,7900600000
"320","Bitcoin","2014-03-13",633.62,644.2,630.85,638.14,11634900,7924860000
"321","Bitcoin","2014-03-14",638.14,639.53,627.21,628.8,11913800,7983980000
"322","Bitcoin","2014-03-15",629.37,639.14,627.3,636.12,4342080,7876360000
"323","Bitcoin","2014-03-16",636.5,637.52,628.11,631.11,5277290,7968200000
"324","Bitcoin","2014-03-17",630.92,632.68,616.86,622.37,14648200,7901040000
"325","Bitcoin","2014-03-18",621.84,622.39,603.8,614.83,24011500,7789810000
"326","Bitcoin","2014-03-19",613.9,622,609.1,609.89,14228900,7692450000
"327","Bitcoin","2014-03-20",609.75,609.75,587.49,588.77,20572900,7642910000
"328","Bitcoin","2014-03-21",588.29,604.59,561.81,571.49,38414100,7376710000
"329","Bitcoin","2014-03-22",571.18,572.55,554.39,565.04,17360700,7164770000
"330","Bitcoin","2014-03-23",565.76,570.24,560.88,561.27,9288400,7099230000
"331","Bitcoin","2014-03-24",562.51,586.56,551.77,583.41,22706900,7061380000
"332","Bitcoin","2014-03-25",585.03,585.44,572.61,583.92,14020100,7346810000
"333","Bitcoin","2014-03-26",583.48,590.03,570.96,580.83,16401100,7329720000
"334","Bitcoin","2014-03-27",580.26,580.56,471.24,471.24,62225400,7291520000
"335","Bitcoin","2014-03-28",477.14,526.02,473.23,495.67,58828300,5997850000
"336","Bitcoin","2014-03-29",501.71,504.86,489.73,491.17,11147100,6308890000
"337","Bitcoin","2014-03-30",492.37,492.37,444.18,460.27,42958300,6193560000
"338","Bitcoin","2014-03-31",462.3,483.02,443.37,457,28254000,5816910000
"339","Bitcoin","2014-04-01",457,495.34,457,478.38,35685800,5752280000
"340","Bitcoin","2014-04-02",479.14,495.05,431.27,437.14,49647600,6032970000
"341","Bitcoin","2014-04-03",436.44,449.56,414.89,444.72,40765500,5497550000
"342","Bitcoin","2014-04-04",445.66,454.65,429.09,447.53,22925500,5615980000
"343","Bitcoin","2014-04-05",446.68,463.57,444.2,461.91,13404500,5630890000
"344","Bitcoin","2014-04-06",463.4,466.32,452.97,460.5,10241400,5843670000
"345","Bitcoin","2014-04-07",461.47,462.56,445.12,449.42,15616600,5821160000
"346","Bitcoin","2014-04-08",447.61,457.42,446.11,453.09,10921600,5.648e+09
"347","Bitcoin","2014-04-09",453.18,455.73,441.93,442.73,13204400,5719730000
"348","Bitcoin","2014-04-10",442.26,443.37,358.73,365.18,55868300,5583670000
"349","Bitcoin","2014-04-11",363.71,429.77,351.27,420.95,62562800,4593400000
"350","Bitcoin","2014-04-12",420.89,439.61,415.79,421.12,19226500,5317310000
"351","Bitcoin","2014-04-13",421.46,427.4,395.25,414.06,22493500,5326230000
"352","Bitcoin","2014-04-14",414.83,469.75,407.37,458.79,50730200,5244350000
"353","Bitcoin","2014-04-15",458.37,519,453.54,515.59,49561000,5797070000
"354","Bitcoin","2014-04-16",522.18,542.38,502.78,527.39,56480100,6606460000
"355","Bitcoin","2014-04-17",529.07,533.52,484.87,495.96,34025500,6695650000
"356","Bitcoin","2014-04-18",495.8,498.6,472.74,479.64,19042400,6276700000
"357","Bitcoin","2014-04-19",479.58,503.56,470.56,501.56,19588200,6073340000
"358","Bitcoin","2014-04-20",501.75,510.87,490.84,498.17,12103100,6356070000
"359","Bitcoin","2014-04-21",497.74,510.57,493.2,495.77,15171400,6307460000
"360","Bitcoin","2014-04-22",495.45,503.22,487.58,487.92,11670900,6280640000
"361","Bitcoin","2014-04-23",488.36,493.25,485.82,491.3,9814530,6192560000
"362","Bitcoin","2014-04-24",490.82,500.46,482.95,500.46,13009400,6225860000
"363","Bitcoin","2014-04-25",500.09,500.3,442.95,461.45,46856500,6345230000
"364","Bitcoin","2014-04-26",461.7,464.54,449.1,458.6,12214600,5860330000
"365","Bitcoin","2014-04-27",457.24,459.33,436.39,436.39,10949500,5805530000
"366","Bitcoin","2014-04-28",430.72,447.53,422.94,440.29,23876600,5470650000
"367","Bitcoin","2014-04-29",439.98,451.64,435.18,447.21,16401400,5590030000
"368","Bitcoin","2014-04-30",446.89,451.1,436.7,447.64,15244900,5679680000
"369","Bitcoin","2014-05-01",447.63,460.61,447.63,457.76,12871800,5690670000
"370","Bitcoin","2014-05-02",457.36,457.93,443.4,449.38,10394200,5816390000
"371","Bitcoin","2014-05-03",449.4,449.4,430.68,437.76,9849640,5716960000
"372","Bitcoin","2014-05-04",438.52,439.77,430.05,436.4,5621260,5580030000
"373","Bitcoin","2014-05-05",434.78,440.97,427.62,433.48,10004800,5534140000
"374","Bitcoin","2014-05-06",433.36,448.04,423.25,428.96,12507300,5517460000
"375","Bitcoin","2014-05-07",429.34,446.13,428.45,438.82,18332200,5468310000
"376","Bitcoin","2014-05-08",438.68,448.4,438.14,440.17,9446580,5588990000
"377","Bitcoin","2014-05-09",440.18,452.69,440.14,449.46,10347900,5609930000
"378","Bitcoin","2014-05-10",450.46,455.77,448.47,454.43,6682600,5742830000
"379","Bitcoin","2014-05-11",453.92,455.34,433.4,438.89,12251700,5789010000
"380","Bitcoin","2014-05-12",438.3,442.26,434.23,441.46,7383770,5591520000
"381","Bitcoin","2014-05-13",441.53,441.98,436.97,440.67,7682670,5634510000
"382","Bitcoin","2014-05-14",440.59,446.66,440.5,443.97,9472960,5624310000
"383","Bitcoin","2014-05-15",444.14,449.8,443.63,447.25,7362980,5671210000
"384","Bitcoin","2014-05-16",447.39,450.66,444.96,448.06,6475100,5714640000
"385","Bitcoin","2014-05-17",448.12,451.98,447.3,448.9,2945790,5725990000
"386","Bitcoin","2014-05-18",448.7,449.77,444.78,446.26,2857830,5735400000
"387","Bitcoin","2014-05-19",446.08,447.56,443.1,446.18,6242620,5703760000
"388","Bitcoin","2014-05-20",446.31,491.44,446.01,485.72,40327500,5708560000
"389","Bitcoin","2014-05-21",485.8,494.37,483.49,491.77,14626000,6215880000
"390","Bitcoin","2014-05-22",492.05,525.36,490.19,524.58,33086500,6297990000
"391","Bitcoin","2014-05-23",525.72,541.96,520.08,520.22,34934700,6731160000
"392","Bitcoin","2014-05-24",521.05,525.17,516.28,525.14,11499300,6673600000
"393","Bitcoin","2014-05-25",525.23,576.48,525.23,571.59,47010300,6729120000
"394","Bitcoin","2014-05-26",571.39,588.39,565.33,583.42,29959800,7322870000
"395","Bitcoin","2014-05-27",582.59,589.52,554.43,571.24,38032000,7468620000
"396","Bitcoin","2014-05-28",571.91,578.62,564.09,577.06,19289000,7333770000
"397","Bitcoin","2014-05-29",576.33,577.1,561.6,568.18,18707800,7392820000
"398","Bitcoin","2014-05-30",568.18,618.46,568.16,615.33,31985400,7290240000
"399","Bitcoin","2014-05-31",615.69,624.72,604.47,623.68,15107100,7902400000
"400","Bitcoin","2014-06-01",623.69,671.51,619.91,630.23,45259100,8007450000
"401","Bitcoin","2014-06-02",629.64,665.5,618.75,660.62,45450200,8086630000
"402","Bitcoin","2014-06-03",660.55,674.11,650.78,667.61,40653700,8486730000
"403","Bitcoin","2014-06-04",666.77,668.56,624.09,641.61,37731500,8569660000
"404","Bitcoin","2014-06-05",641.07,663.53,640.09,659.26,29621300,8242230000
"405","Bitcoin","2014-06-06",659.28,661.37,652.3,653.7,18680100,8478870000
"406","Bitcoin","2014-06-07",653.52,656.94,644.91,654.97,15855300,8407050000
"407","Bitcoin","2014-06-08",654.99,658.88,653.47,656.14,8614190,8428530000
"408","Bitcoin","2014-06-09",655.64,657.7,644.39,649.16,19065400,8439070000
"409","Bitcoin","2014-06-10",650.04,659.62,646.56,653.15,17913400,8369550000
"410","Bitcoin","2014-06-11",653.19,657.04,632.55,633.02,25163800,8412780000
"411","Bitcoin","2014-06-12",633.43,638.11,573.27,586.95,50818800,8160590000
"412","Bitcoin","2014-06-13",585.7,615.14,585.7,600.16,35700700,7548170000
"413","Bitcoin","2014-06-14",600.75,601.27,549.82,577.36,38481200,7744580000
"414","Bitcoin","2014-06-15",575.93,592.94,554.89,592.94,23580900,7427200000
"415","Bitcoin","2014-06-16",592.65,608.72,587.07,592.19,28677500,7645650000
"416","Bitcoin","2014-06-17",591.59,610.89,590.4,610.86,18597300,7634710000
"417","Bitcoin","2014-06-18",609.77,615.88,604.4,607.96,17862000,7872150000
"418","Bitcoin","2014-06-19",608.07,612.24,597.02,598.07,12803800,7852650000
"419","Bitcoin","2014-06-20",597.4,599.75,587.76,594.15,18134100,7717370000
"420","Bitcoin","2014-06-21",593.68,599.46,587.74,594.99,9256290,7672030000
"421","Bitcoin","2014-06-22",595.9,606,594.63,602.27,10877700,7703560000
